id,personSessionId,zoneCode,zoneName,firstLook,lastLook,firstDwell,lastDwell,viewTimeSeconds,dwellTimeSeconds,recordedAt
7211,3902343a-33dc-44f5-8072-3516f7a506fe,GF-R4-U1,"Gondola R4 Front U1",2026-07-31T03:20:21.458Z,2026-07-31T03:21:17.658Z,2026-07-31T03:20:21.458Z,2026-07-31T03:21:17.658Z,56.2,56.2,2026-07-31T03:20:21.458Z
7216,270d626f-ad31-4d04-8ba1-3c0869b510a4,GPS-01,"GPS Display Case 1",2026-07-31T03:20:18.717Z,2026-07-31T03:21:26.717Z,2026-07-31T03:20:18.717Z,2026-07-31T03:21:26.717Z,68.0,68.0,2026-07-31T03:20:18.717Z
7215,e0687f2f-2f1f-49e3-ae67-3576de0ea768,GB-R4-U6,"Gondola R4 Back U6",2026-07-31T03:20:15.783Z,2026-07-31T03:21:23.783Z,2026-07-31T03:20:15.783Z,2026-07-31T03:21:23.783Z,68.0,68.0,2026-07-31T03:20:15.783Z
7219,40b96ab4-a0fc-4561-bb99-bd14b771e5d1,PW-04,"West Wall Bay 4",2026-07-31T03:20:14.239Z,2026-07-31T03:21:31.039Z,2026-07-31T03:20:14.239Z,2026-07-31T03:21:31.039Z,76.8,76.8,2026-07-31T03:20:14.239Z
7197,0db890db-93c9-442d-b9f1-8f4703f73777,PW-06,"West Wall Bay 6",2026-07-31T03:20:12.953Z,2026-07-31T03:20:51.553Z,2026-07-31T03:20:12.953Z,2026-07-31T03:20:51.553Z,38.6,38.6,2026-07-31T03:20:12.953Z
7210,2a25937d-c90b-4ead-8c20-ba56661a9341,GB-R2-U7,"Gondola R2 Back U7",2026-07-31T03:20:10.537Z,2026-07-31T03:21:16.137Z,2026-07-31T03:20:10.537Z,2026-07-31T03:21:16.137Z,65.6,65.6,2026-07-31T03:20:10.537Z
7208,eff441b7-e479-4c21-a790-3fae524af5df,FB-01,"Footwear Bench Seat",2026-07-31T03:20:08.013Z,2026-07-31T03:21:14.013Z,2026-07-31T03:20:08.013Z,2026-07-31T03:21:14.013Z,66.0,66.0,2026-07-31T03:20:08.013Z
7220,d1d9950d-8acd-423d-b51b-90582550a4ad,GF-R3-U7,"Gondola R3 Front U7",2026-07-31T03:20:07.328Z,2026-07-31T03:21:35.128Z,2026-07-31T03:20:07.328Z,2026-07-31T03:21:35.128Z,87.8,87.8,2026-07-31T03:20:07.328Z
7204,1e04764a-ce08-4a38-a254-7581317b8ad5,GF-R2-U4,"Gondola R2 Front U4",2026-07-31T03:20:06.592Z,2026-07-31T03:21:09.992Z,2026-07-31T03:20:06.592Z,2026-07-31T03:21:09.992Z,63.4,63.4,2026-07-31T03:20:06.592Z
7214,019f5842-8dc1-4ea3-acdf-41eb9fac42dc,GF-R6-U7,"Gondola R6 Front U7",2026-07-31T03:20:05.459Z,2026-07-31T03:21:23.259Z,2026-07-31T03:20:05.459Z,2026-07-31T03:21:23.259Z,77.8,77.8,2026-07-31T03:20:05.459Z
7217,d0065d0b-4a8d-428e-b371-ab6941b703a8,GF-R3-U2,"Gondola R3 Front U2",2026-07-31T03:20:03.629Z,2026-07-31T03:21:31.829Z,2026-07-31T03:20:03.629Z,2026-07-31T03:21:31.829Z,88.2,88.2,2026-07-31T03:20:03.629Z
7201,de3acfcf-1c97-48dd-9884-bf0f4114d1d0,GB-R6-U4,"Gondola R6 Back U4",2026-07-31T03:19:58.896Z,2026-07-31T03:21:06.496Z,2026-07-31T03:19:58.896Z,2026-07-31T03:21:06.496Z,67.6,67.6,2026-07-31T03:19:58.896Z
7212,44ad48d4-c803-480f-b04d-7d16a68d5fc2,GF-R1-U2,"Gondola R1 Front U2",2026-07-31T03:19:57.332Z,2026-07-31T03:21:20.732Z,2026-07-31T03:19:57.332Z,2026-07-31T03:21:20.732Z,83.4,83.4,2026-07-31T03:19:57.332Z
7185,7883b87d-d496-453b-9e52-8ab08a1da539,GF-R1-U6,"Gondola R1 Front U6",2026-07-31T03:19:56.796Z,2026-07-31T03:20:29.396Z,2026-07-31T03:19:56.796Z,2026-07-31T03:20:29.396Z,32.6,32.6,2026-07-31T03:19:56.796Z
7205,948f0ece-0a14-41e2-9db0-3b8ef7756445,PE-03,"East Wall Bay 3",2026-07-31T03:19:54.873Z,2026-07-31T03:21:09.873Z,2026-07-31T03:19:54.873Z,2026-07-31T03:21:09.873Z,75.0,75.0,2026-07-31T03:19:54.873Z
7183,52140e93-1a9a-4653-9041-ba160a711bf5,GB-R3-U4,"Gondola R3 Back U4",2026-07-31T03:19:52.695Z,2026-07-31T03:20:27.695Z,2026-07-31T03:19:52.695Z,2026-07-31T03:20:27.695Z,35.0,35.0,2026-07-31T03:19:52.695Z
7177,edd1679c-ac40-445a-a687-496177007971,GF-R5-U7,"Gondola R5 Front U7",2026-07-31T03:19:51.562Z,2026-07-31T03:20:22.362Z,2026-07-31T03:19:51.562Z,2026-07-31T03:20:22.362Z,30.8,30.8,2026-07-31T03:19:51.562Z
7196,e6b616f4-ab72-449c-a4b3-2e363a5920f3,PE-05,"East Wall Bay 5",2026-07-31T03:19:51.536Z,2026-07-31T03:20:49.936Z,2026-07-31T03:19:51.536Z,2026-07-31T03:20:49.936Z,58.4,58.4,2026-07-31T03:19:51.536Z
