item_cd,qty,orders,name,name_kr
5116571,4,4,"CN TS 500 WOOL M heather grey, M","CN TS 500 WOOL M heather grey, M"
1844126,4,4,"CHAPKA FIRSTHEAT BLACK, .","CHAPKA FIRSTHEAT BLACK, ."
2920617,4,3,"MERINO FRESH T-SHIRT M - YELLOW, S","MERINO FRESH T-SHIRT M - YELLOW, S"
4163887,4,4,"FLEECE MH 100 ZIP BLACK M, S","FLEECE MH 100 ZIP BLACK M, S"
4236811,4,4,"SHOES MH500 WP M DKG, UK 7 - EU 41","SHOES MH500 WP M DKG, UK 7 - EU 41"
5483963,4,3,"TS TRAVEL 500 WOO, UK 6-8 / EU S [short]","TS TRAVEL 500 WOO, UK 6-8 / EU S [short]"
5483964,4,4,"TS TRAVEL 500 WOOL, UK 10 / EU M [short]","TS TRAVEL 500 WOOL, UK 10 / EU M [short]"
5579509,4,4,"JACKET 3IN1 SH500 M, 2XL [short]","JACKET 3IN1 SH500 M, 2XL [short]"
4083843,4,3,"PANT NH500 REGULAR BEIG UK29\"" FR38 (L30)","PANT NH500 REGULAR BEIG UK29\"" FR38 (L30)"
5318628,4,3,"SHORT RUN 500 M COMFORT S, UK 30\"" / EU S","SHORT RUN 500 M COMFORT S, UK 30\"" / EU S"
5086575,4,4,"ZIP OFF TROUSERS MT500, UK32\"" FR42 (L31)","ZIP OFF TROUSERS MT500, UK32\"" FR42 (L31)"
5116570,4,4,"CN TS 500 WOOL M heather grey, S","CN TS 500 WOOL M heather grey, S"
2959082,4,4,"PANTS NH900 GREY M, UK 30 - EU 38","PANTS NH900 GREY M, UK 30 - EU 38"
4050493,4,4,"FBRA 900 BLACK, UK16-18 / EU XL","FBRA 900 BLACK, UK16-18 / EU XL"
4711501,4,4,"CN22 TREK 100 DOWN HOODIE, S (Chest 35\"")","CN22 TREK 100 DOWN HOODIE, S (Chest 35\"")"
5044792,4,4,"LS T SHIRT MH500 W BEIG, UK 12-14 / EU L","LS T SHIRT MH500 W BEIG, UK 12-14 / EU L"
4954142,4,4,"GLOVE MT500 WARM STRETCH BLACK, S","GLOVE MT500 WARM STRETCH BLACK, S"
2478033,4,3,"MERINO FRESH LS T-SHIRT M - BLUE, M","MERINO FRESH LS T-SHIRT M - BLUE, M"
4472339,4,4,"R300, UK 4-5 EU37-38","R300, UK 4-5 EU37-38"
4163882,4,4,"FLEECE MH 100 ZIP BLACK M, 2XL","FLEECE MH 100 ZIP BLACK M, 2XL"
4531840,4,4,"SOCKS WARM SH100 HIGH AD, 5.5-8 - 39/42","SOCKS WARM SH100 HIGH AD, 5.5-8 - 39/42"
5493454,4,4,"SHORT TANK RUN 500, UK 10 / EU M [short]","SHORT TANK RUN 500, UK 10 / EU M [short]"
4361594,4,4,"GLOVE MT 900 WINDPROOF GREY, 2XL","GLOVE MT 900 WINDPROOF GREY, 2XL"
4132287,4,4,"T-shirt 100 M BLACK, M","T-shirt 100 M BLACK, M"
2121844,4,4,"Synth JKT MT50 M Black, M","Synth JKT MT50 M Black, M"
2899682,4,3,"COMPACT BP BLK TRAVEL 20L WP, No Size","COMPACT BP BLK TRAVEL 20L WP, No Size"
2721350,4,4,"UVLEG100L SS20 W Leggings BLK, XL","UVLEG100L SS20 W Leggings BLK, XL"
4479815,4,4,"JF100.1 W BLACK, UK 5  EU38","JF100.1 W BLACK, UK 5  EU38"
4397391,4,4,"GOGGLES 100 XBASE L BLACK BLUE, L","GOGGLES 100 XBASE L BLACK BLUE, L"
4094321,4,4,"FLEECE MH 100 1/2 ZIP BLACK M, XL","FLEECE MH 100 1/2 ZIP BLACK M, XL"
5317590,4,4,"TS RUN 500 M DRY KHAKI J25A, M","TS RUN 500 M DRY KHAKI J25A, M"
5194612,4,4,"JACKET RUN 900 M WARM REGUL BLACK YEL, M","JACKET RUN 900 M WARM REGUL BLACK YEL, M"
4273864,4,4,"ARM COVER UV PROTECT BLK CN, L/XL/2XL","ARM COVER UV PROTECT BLK CN, L/XL/2XL"
5273799,4,3,"KIPRUN KS900 2 M Blue, UK 7 - EU 41","KIPRUN KS900 2 M Blue, UK 7 - EU 41"
5194636,4,3,"JACKET RUN 900 W WARM REG, UK 16 / EU XL","JACKET RUN 900 W WARM REG, UK 16 / EU XL"
4988446,4,4,"KIPRUN KD900 2 M - white, UK 9 - EU 43.5","KIPRUN KD900 2 M - white, UK 9 - EU 43.5"
2912220,4,4,"SKI-P PA 100 B DARK GREY, 12 Years","SKI-P PA 100 B DARK GREY, 12 Years"
5075449,4,4,"TROUSERS MT900 GREY M, UK29\"" FR38 (L30)","TROUSERS MT900 GREY M, UK29\"" FR38 (L30)"
5579508,4,4,"JACKET 3IN1 SH500 M, XL [short]","JACKET 3IN1 SH500 M, XL [short]"
5245215,4,4,"CN TRAVEL 500 3IN1 DOWN White gre, 2XL .","CN TRAVEL 500 3IN1 DOWN White gre, 2XL ."
