attribute_name,raw_value,display_value,locale,visual
color,Ochre,Orange,en,"{""swatch"":""#e8730f""}"
color,Ochre,Orange,fr-FR,"{""swatch"":""#e8730f""}"
color,Ochre,오렌지,ko-KR,"{""swatch"":""#e8730f""}"
color,Olive Green,Green,en,"{""swatch"":""#3f7d3a""}"
color,Olive Green,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Olive Green,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Pacific Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Pacific Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Pacific Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Pale Gray,Gray,en,"{""swatch"":""#808080""}"
color,Pale Gray,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Pale Gray,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Pale Lilac Purple,Purple,en,"{""swatch"":""#7d3ca8""}"
color,Pale Lilac Purple,Violet,fr-FR,"{""swatch"":""#7d3ca8""}"
color,Pale Lilac Purple,퍼플,ko-KR,"{""swatch"":""#7d3ca8""}"
color,Pale Mint,Green,en,"{""swatch"":""#3f7d3a""}"
color,Pale Mint,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Pale Mint,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Pearl Beige,Beige,en,"{""swatch"":""#d9c6a5""}"
color,Pearl Beige,Beige,fr-FR,"{""swatch"":""#d9c6a5""}"
color,Pearl Beige,베이지,ko-KR,"{""swatch"":""#d9c6a5""}"
color,Pebble Gray,Gray,en,"{""swatch"":""#808080""}"
color,Pebble Gray,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Pebble Gray,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Petrol Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Petrol Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Petrol Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Pewter,Gray,en,"{""swatch"":""#808080""}"
color,Pewter,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Pewter,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Pink,Pink,en,"{""swatch"":""#e84d8a""}"
color,Pink,Rose,fr-FR,"{""swatch"":""#e84d8a""}"
color,Pink,핑크,ko-KR,"{""swatch"":""#e84d8a""}"
color,Prussian Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Prussian Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Prussian Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Purple,Purple,en,"{""swatch"":""#7d3ca8""}"
color,Purple,Violet,fr-FR,"{""swatch"":""#7d3ca8""}"
color,Purple,퍼플,ko-KR,"{""swatch"":""#7d3ca8""}"
color,Putty,Beige,en,"{""swatch"":""#d9c6a5""}"
color,Putty,Beige,fr-FR,"{""swatch"":""#d9c6a5""}"
color,Putty,베이지,ko-KR,"{""swatch"":""#d9c6a5""}"
color,Royal Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Royal Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Royal Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Sage,Green,en,"{""swatch"":""#3f7d3a""}"
color,Sage,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Sage,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Sand,Beige,en,"{""swatch"":""#d9c6a5""}"
color,Sand,Beige,fr-FR,"{""swatch"":""#d9c6a5""}"
color,Sand,베이지,ko-KR,"{""swatch"":""#d9c6a5""}"
color,Silver,Gray,en,"{""swatch"":""#808080""}"
color,Silver,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Silver,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Slate Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Slate Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Slate Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Smoked Black,Black,en,"{""swatch"":""#1a1a1a""}"
color,Smoked Black,Noir,fr-FR,"{""swatch"":""#1a1a1a""}"
color,Smoked Black,블랙,ko-KR,"{""swatch"":""#1a1a1a""}"
color,Snowy White,White,en,"{""swatch"":""#f5f5f5""}"
color,Snowy White,Blanc,fr-FR,"{""swatch"":""#f5f5f5""}"
color,Snowy White,화이트,ko-KR,"{""swatch"":""#f5f5f5""}"
color,Steel Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Steel Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Steel Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Steel Gray,Gray,en,"{""swatch"":""#808080""}"
color,Steel Gray,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Steel Gray,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Storm Gray,Gray,en,"{""swatch"":""#808080""}"
color,Storm Gray,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Storm Gray,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Storm Grey,Gray,en,"{""swatch"":""#808080""}"
color,Storm Grey,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Storm Grey,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Strawberry Pink,Pink,en,"{""swatch"":""#e84d8a""}"
color,Strawberry Pink,Rose,fr-FR,"{""swatch"":""#e84d8a""}"
color,Strawberry Pink,핑크,ko-KR,"{""swatch"":""#e84d8a""}"
color,Sun Gold,Yellow,en,"{""swatch"":""#f2c200""}"
color,Sun Gold,Jaune,fr-FR,"{""swatch"":""#f2c200""}"
color,Sun Gold,옐로우,ko-KR,"{""swatch"":""#f2c200""}"
color,Sweet Pink,Pink,en,"{""swatch"":""#e84d8a""}"
color,Sweet Pink,Rose,fr-FR,"{""swatch"":""#e84d8a""}"
color,Sweet Pink,핑크,ko-KR,"{""swatch"":""#e84d8a""}"
color,Sweet Purple,Purple,en,"{""swatch"":""#7d3ca8""}"
color,Sweet Purple,Violet,fr-FR,"{""swatch"":""#7d3ca8""}"
color,Sweet Purple,퍼플,ko-KR,"{""swatch"":""#7d3ca8""}"
color,Teal Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Teal Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Teal Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Teal Green,Green,en,"{""swatch"":""#3f7d3a""}"
color,Teal Green,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Teal Green,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Team Edition Legacy,Unspecified,en,"{""swatch"":""#cccccc""}"
color,Team Edition Legacy,Indéfini,fr-FR,"{""swatch"":""#cccccc""}"
color,Team Edition Legacy,미지정,ko-KR,"{""swatch"":""#cccccc""}"
color,Tropical Lime,Green,en,"{""swatch"":""#3f7d3a""}"
color,Tropical Lime,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Tropical Lime,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Turquoise,Turquoise,en,"{""swatch"":""#10b3b3""}"
color,Turquoise,Turquoise,fr-FR,"{""swatch"":""#10b3b3""}"
color,Turquoise,청록,ko-KR,"{""swatch"":""#10b3b3""}"
color,Ultra Black,Black,en,"{""swatch"":""#1a1a1a""}"
color,Ultra Black,Noir,fr-FR,"{""swatch"":""#1a1a1a""}"
color,Ultra Black,블랙,ko-KR,"{""swatch"":""#1a1a1a""}"
color,Unspecified,Unspecified,en,"{""swatch"":""#cccccc""}"
color,Unspecified,Indéfini,fr-FR,"{""swatch"":""#cccccc""}"
color,Unspecified,미지정,ko-KR,"{""swatch"":""#cccccc""}"
color,Verdigris,Turquoise,en,"{""swatch"":""#10b3b3""}"
color,Verdigris,Turquoise,fr-FR,"{""swatch"":""#10b3b3""}"
color,Verdigris,청록,ko-KR,"{""swatch"":""#10b3b3""}"
color,Vermilion,Red,en,"{""swatch"":""#c0392b""}"
